,yearmonth,volume,value_type
0,2022-01,14003254.0,ACTUAL
1,2022-02,14059804.0,ACTUAL
2,2022-03,15414589.0,ACTUAL
3,2022-04,15843205.0,ACTUAL
4,2022-05,16666277.0,ACTUAL
5,2022-06,14214578.0,ACTUAL
6,2022-07,15647363.0,ACTUAL
7,2022-08,14778702.0,ACTUAL
8,2022-09,16434751.0,ACTUAL
9,2022-10,15274832.0,ACTUAL
10,2022-11,17535034.0,ACTUAL
11,2022-12,19235689.0,ACTUAL
12,2023-01,15430200.0,ACTUAL
13,2023-02,15041814.0,ACTUAL
14,2023-03,17064202.0,ACTUAL
15,2023-04,14896556.0,ACTUAL
16,2023-05,14779873.0,ACTUAL
17,2023-06,15981817.0,ACTUAL
18,2023-07,14147855.0,ACTUAL
19,2023-08,14735454.0,ACTUAL
20,2023-09,14837534.0,ACTUAL
21,2023-10,14272502.0,PREDICTED
22,2023-11,15738436.0,PREDICTED
23,2023-12,14059737.0,PREDICTED
