,yearmonth,volume,value_type
0,2022-01,39817138.0,ACTUAL
1,2022-02,39640373.0,ACTUAL
2,2022-03,44144554.0,ACTUAL
3,2022-04,43897372.0,ACTUAL
4,2022-05,42734442.0,ACTUAL
5,2022-06,42939998.0,ACTUAL
6,2022-07,42924078.0,ACTUAL
7,2022-08,43658673.0,ACTUAL
8,2022-09,45035481.0,ACTUAL
9,2022-10,41660507.0,ACTUAL
10,2022-11,43520919.0,ACTUAL
11,2022-12,45277378.0,ACTUAL
12,2023-01,41422810.0,ACTUAL
13,2023-02,39992909.0,ACTUAL
14,2023-03,45562225.0,ACTUAL
15,2023-04,40244818.0,ACTUAL
16,2023-05,44778323.0,ACTUAL
17,2023-06,45277865.0,ACTUAL
18,2023-07,41466855.0,ACTUAL
19,2023-08,43871451.0,ACTUAL
20,2023-09,43611680.0,ACTUAL
21,2023-10,40560939.0,PREDICTED
22,2023-11,43912131.0,PREDICTED
23,2023-12,43609613.0,PREDICTED
