,yearmonth,volume,value_type
0,2022-01,1348724.0,ACTUAL
1,2022-02,1461137.0,ACTUAL
2,2022-03,1652776.0,ACTUAL
3,2022-04,1498070.0,ACTUAL
4,2022-05,1648012.0,ACTUAL
5,2022-06,1425726.0,ACTUAL
6,2022-07,1455088.0,ACTUAL
7,2022-08,1543658.0,ACTUAL
8,2022-09,1590800.0,ACTUAL
9,2022-10,1475370.0,ACTUAL
10,2022-11,1584098.0,ACTUAL
11,2022-12,2302334.0,ACTUAL
12,2023-01,1622538.0,ACTUAL
13,2023-02,1557787.0,ACTUAL
14,2023-03,1803883.0,ACTUAL
15,2023-04,1564297.0,ACTUAL
16,2023-05,1615406.0,ACTUAL
17,2023-06,1767442.0,ACTUAL
18,2023-07,1555942.0,ACTUAL
19,2023-08,1784072.0,ACTUAL
20,2023-09,1615802.0,ACTUAL
21,2023-10,1601324.0,PREDICTED
22,2023-11,1827981.0,PREDICTED
23,2023-12,2374116.0,PREDICTED
